"original address",latitude,longitude
"Mobile	AL",30.695366,-88.039891
"Sacramento	CA",38.581572,-121.4944
"San Francisco	CA",37.77493,-122.419416
"Bridgeport	CT",41.186548,-73.195177
"Hartford	CT",41.763711,-72.685093
"New Haven	CT",41.308274,-72.927883
"New London	CT",41.355654,-72.099521
"Norwich	CT",41.524265,-72.07591
"Waterbury	CT",41.558153,-73.051496
"Washington	DC",38.907192,-77.036871
"Wilmington	DE",39.739072,-75.539788
"Atlanta	GA",33.748995,-84.387982
"Augusta	GA",33.473498,-82.010515
"Columbus	GA",32.460976,-84.987709
"Savannah	GA",32.083541,-81.099834
"Davenport	IA",41.523644,-90.577637
"Dubuque	IA",42.500558,-90.664572
"Chicago	IL",41.878114,-87.629798
"Peoria	IL",40.693649,-89.588986
"Quincy	IL",39.935602,-91.409873
"Evansville	IN",37.971559,-87.57109
"Indianapolis	IN",39.768403,-86.158068
"New Albany	IN",38.285625,-85.824131
"Covington	KY",39.083671,-84.508554
"Louisville	KY",38.252665,-85.758456
"Newport	KY",39.091449,-84.495776
"New Orleans	LA",29.951066,-90.071532
"Boston	MA",42.360083,-71.05888
"Cambridge	MA",42.373616,-71.109733
"Charlestown	MA",42.378207,-71.060213
"Chelsea	MA",42.391764,-71.032828
"Dorchester	MA",42.30163,-71.067605
"Fall River	MA",41.701491,-71.155045
"Gloucester	MA",42.615929,-70.661989
"Haverhill	MA",42.776202,-71.07728
"Lawrence	MA",42.707035,-71.163114
"Lowell	MA",42.633425,-71.316172
"Lynn	MA",42.466763,-70.949494
"New Bedford	MA",41.636215,-70.934205
"Newburyport	MA",42.812591,-70.877275
"Roxbury	MA",42.315198,-71.091375
"Salem	MA",42.51954,-70.896716
"Springfield	MA",42.101483,-72.589811
"Taunton	MA",41.900101,-71.089767
"Worcester	MA",42.262593,-71.802293
"Baltimore	MD",39.290385,-76.612189
"Bangor	ME",44.801182,-68.777814
"Portland	ME",43.661471,-70.255326
"Detroit	MI",42.331427,-83.045754
"St. Paul	MN",44.953703,-93.089958
"St. Louis	MO",38.627003,-90.199404
"Wilmington	NC",34.225726,-77.94471
"Concord	NH",43.208137,-71.537572
"Manchester	NH",42.99564,-71.454789
"Nashua	NH",42.765366,-71.467566
"Camden	NJ",39.925946,-75.11962
"Elizabeth	NJ",40.663992,-74.210701
"Hoboken	NJ",40.743991,-74.032363
"Jersey City	NJ",40.728157,-74.077642
"New Brunswick	NJ",40.486216,-74.451819
"Newark	NJ",40.735657,-74.172367
"Paterson	NJ",40.916765,-74.171811
"Trenton	NJ",40.217053,-74.742938
"Albany	NY",42.652579,-73.756232
"Auburn	NY",42.931734,-76.566053
"Brooklyn	NY",40.678178,-73.944158
"Buffalo	NY",42.886447,-78.878369
"Lockport village	NY",43.170613,-78.69031
"New York	NY",40.712784,-74.005941
"Newburgh village	NY",41.503427,-74.010418
"Oswego	NY",43.455346,-76.510497
"Poughkeepsie	NY",41.700371,-73.92097
"Rochester	NY",43.16103,-77.610922
"Schenectady	NY",42.814243,-73.939569
"Syracuse	NY",43.048122,-76.147424
"Troy	NY",42.728412,-73.691785
"Utica	NY",43.100903,-75.232664
"Cincinnati	OH",39.103118,-84.51202
"Cleveland	OH",41.49932,-81.694361
"Columbus	OH",39.961176,-82.998794
"Dayton	OH",39.758948,-84.191607
"Toledo	OH",41.663938,-83.555212
"Allegheny	PA",40.445081,-80.008775
"Harrisburg	PA",40.273191,-76.886701
"Lancaster	PA",40.037876,-76.305514
"Philadelphia	PA",39.952584,-75.165222
"Pittsburgh	PA",40.440625,-79.995886
"Reading	PA",40.335648,-75.926875
"Newport	RI",41.490102,-71.312829
"Providence	RI",41.823989,-71.412834
"North Providence	RI.",41.853552,-71.467664
"Charleston	SC",32.776475,-79.931051
"Memphis	TN",35.149534,-90.04898
"Nashville	TN",36.162664,-86.781602
"Alexandria	VA",38.804836,-77.046921
"Norfolk	VA",36.850769,-76.285873
"Petersburg	VA",37.227928,-77.401927
"Richmond	VA",37.540725,-77.436048
"Wheeling	VA",37.689035,-77.3936
"Milwaukee	WI",43.038903,-87.906474
