"original address",latitude,longitude
"City	State",-35.304179,149.126009
"Hartford	CT",41.763711,-72.685093
"New Haven	CT",41.308274,-72.927883
"New London	CT",41.355654,-72.099521
"Norwich	CT",41.524265,-72.07591
"Alexandria	DC",38.804836,-77.046921
"Georgetown	DC",38.909706,-77.065356
"Washington	DC",38.907192,-77.036871
"Savannah	GA",32.083541,-81.099834
"Lexington	KY",38.040584,-84.503716
"New Orleans	LA",29.951066,-90.071532
"Beverly	MA",42.558428,-70.880049
"Boston	MA",42.360083,-71.05888
"Charlestown	MA",42.378207,-71.060213
"Gloucester	MA",42.615929,-70.661989
"Lynn	MA",42.466763,-70.949494
"Marblehead	MA",42.499958,-70.857802
"Middleborough	MA",41.892994,-70.910771
"Nantucket	MA",41.28347,-70.099451
"New Bedford	MA",41.636215,-70.934205
"Newburyport	MA",42.812591,-70.877275
"Plymouth	MA",41.958446,-70.667262
"Salem	MA",42.51954,-70.896716
"Baltimore	MD",39.290385,-76.612189
"Portland	ME",43.661471,-70.255326
"Portsmouth	NH",43.071755,-70.762553
"Elizabeth	NJ",40.663992,-74.210701
"Trenton	NJ",40.217053,-74.742938
"Albany	NY",42.652579,-73.756232
"Brooklyn	NY",40.678178,-73.944158
"Hudson	NY",42.252865,-73.790959
"New York	NY",40.712784,-74.005941
"Schenectady	NY",42.814243,-73.939569
"Cincinnati	OH",39.103118,-84.51202
"Lancaster	PA",40.037876,-76.305514
"Northern Liberties	PA",39.963692,-75.139944
"Philadelphia	PA",39.952584,-75.165222
"Pittsburgh	PA",40.440625,-79.995886
"Reading	PA",40.335648,-75.926875
"Southwark	PA",39.938263,-75.147241
"York	PA",39.962598,-76.727745
"Newport	RI",41.490102,-71.312829
"Providence	RI",41.823989,-71.412834
"Charleston	SC",32.776475,-79.931051
"Norfolk	VA",36.850769,-76.285873
"Petersburg	VA",37.227928,-77.401927
"Richmond	VA",37.540725,-77.436048
